gene1_idx,Gene1_Entrez_ID,gene2_idx,Gene2_Entrez_ID,combined_score,PPI_score
47,572,271,2645,444.0,0.444
47,572,278,2810,802.0,0.802
47,572,379,4170,426.0,0.426
47,572,435,5058,457.0,0.457
47,572,495,5566,457.0,0.457
47,572,520,5599,497.0,0.497
47,572,561,5894,657.0,0.657
47,572,688,7529,756.0,0.756
47,572,689,7532,607.0,0.607
47,572,690,7533,716.0,0.716
47,572,691,7534,802.0,0.802
47,572,820,10017,422.0,0.422
47,572,867,10971,716.0,0.716
48,595,49,596,485.0,0.485
48,595,90,842,429.0,0.429
48,595,92,861,499.0,0.499
48,595,93,865,499.0,0.499
48,595,95,891,638.0,0.638
48,595,97,894,935.0,0.935
48,595,98,896,911.0,0.911
48,595,99,898,722.0,0.722
48,595,104,983,974.0,0.974
48,595,106,1017,998.0,0.998
48,595,108,1019,999.0,0.999
48,595,109,1020,772.0,0.772
48,595,110,1021,999.0,0.999
48,595,136,1387,963.0,0.963
48,595,197,2033,638.0,0.638
48,595,216,2099,928.0,0.928
48,595,289,2932,408.0,0.408
48,595,296,3065,457.0,0.457
48,595,312,3312,913.0,0.913
48,595,315,3320,582.0,0.582
48,595,382,4193,514.0,0.514
48,595,439,5111,671.0,0.671
48,595,454,5241,457.0,0.457
48,595,471,5300,405.0,0.405
48,595,552,5753,499.0,0.499
48,595,560,5888,509.0,0.509
48,595,566,5925,491.0,0.491
48,595,568,5928,424.0,0.424
48,595,571,5970,457.0,0.457
48,595,574,6046,499.0,0.499
48,595,625,6774,707.0,0.707
48,595,636,6872,823.0,0.823
48,595,703,8078,457.0,0.457
48,595,755,8841,589.0,0.589
48,595,757,8850,862.0,0.862
48,595,774,9133,518.0,0.518
48,595,808,9759,812.0,0.812
48,595,841,10419,821.0,0.821
49,596,50,597,569.0,0.569
49,596,51,598,999.0,0.999
49,596,52,599,731.0,0.731
49,596,97,894,534.0,0.534
49,596,104,983,560.0,0.56
49,596,123,1147,441.0,0.441
49,596,136,1387,489.0,0.489
49,596,197,2033,491.0,0.491
49,596,271,2645,517.0,0.517
49,596,286,2908,539.0,0.539
49,596,300,3091,539.0,0.539
49,596,307,3265,873.0,0.873
49,596,312,3312,418.0,0.418
49,596,315,3320,774.0,0.774
49,596,342,3654,445.0,0.445
49,596,345,3708,989.0,0.989
49,596,358,3845,599.0,0.599
49,596,379,4170,509.0,0.509
49,596,382,4193,803.0,0.803
49,596,383,4194,457.0,0.457
49,596,461,5289,931.0,0.931
49,596,486,5499,439.0,0.439
49,596,534,5663,616.0,0.616
49,596,561,5894,564.0,0.564
49,596,571,5970,758.0,0.758
49,596,595,6390,407.0,0.407
49,596,618,6714,545.0,0.545
49,596,654,7157,999.0,0.999
49,596,677,7417,841.0,0.841
49,596,820,10017,671.0,0.671
49,596,918,23476,457.0,0.457
49,596,1025,56848,847.0,0.847
49,596,1032,57142,611.0,0.611
49,596,1153,493856,562.0,0.562
