node_idx,old_node_idx,GDSC_Cell,DepMap_ModelID,SIDM,DepMap_CellLineName,DepMap_StrippedCellLineName,COSMICID,CCLEName
42,42,SIDM00942,ACH-000518,SIDM00942,CAL-33,CAL33,753541.0,CAL33_UPPER_AERODIGESTIVE_TRACT
43,43,SIDM00936,ACH-000142,SIDM00936,CAL-29,CAL29,1290730.0,CAL29_URINARY_TRACT
44,44,SIDM00108,ACH-000579,SIDM00108,UACC-257,UACC257,905977.0,UACC257_SKIN
45,45,SIDM01140,ACH-001374,SIDM01140,PA-1 [PA1],PA1,909255.0,PA1_OVARY
46,46,SIDM01009,ACH-000259,SIDM01009,KELLY,KELLY,753618.0,KELLY_AUTONOMIC_GANGLIA
47,47,SIDM01122,ACH-000853,SIDM01122,NCI-H661,NCIH661,687829.0,NCIH661_LUNG
48,48,SIDM00261,ACH-002109,SIDM00261,ES8,ES8,949155.0,ES8_BONE
49,49,SIDM00983,ACH-000896,SIDM00983,647-V,647V,906797.0,647V_URINARY_TRACT
50,50,SIDM00222,ACH-000319,SIDM00222,MPP 89,MPP89,908150.0,MPP89_PLEURA
51,51,SIDM01060,ACH-000882,SIDM01060,IGR-1,IGR1,907169.0,IGR1_SKIN
52,52,SIDM00715,ACH-000521,SIDM00715,NCI-H2030,NCIH2030,722045.0,NCIH2030_LUNG
53,53,SIDM00826,ACH-001039,SIDM00826,COLO 205,COLO205,905961.0,COLO205_LARGE_INTESTINE
54,54,SIDM00989,ACH-000802,SIDM00989,BFTC-905,BFTC905,910926.0,BFTC905_URINARY_TRACT
55,55,SIDM00447,ACH-000960,SIDM00447,Reh,REH,909696.0,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
56,56,SIDM00426,ACH-000100,SIDM00426,RH-41,RH41,1240210.0,RH41_SOFT_TISSUE
57,57,SIDM01136,ACH-000417,SIDM01136,Panc 08.13,PANC0813,925347.0,PANC0813_PANCREAS
