Molecule_ChEMBL_ID,Molecule_Pref_Name,Drug_CID,Drug_GDSC,Canonical_SMILES
CHEMBL91008,,11779816,FALSE,CC1=C(SCCCCCCO)C(=O)c2ccccc2C1=O
CHEMBL407085,,49796500,FALSE,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)CC(OC(=O)[C@H](OC(=O)N(C)CCN(C)C(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](N)C(C)C)C(NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O.Cl.Cl
CHEMBL264500,,49796496,FALSE,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)CC(OC(=O)[C@H](OC(=O)OCc4ccc(NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](N)C(C)C)cc4)C(NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O.Cl.Cl
CHEMBL149851,,10669266,FALSE,CCC1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(OC)c(F)cc3nc2-1
CHEMBL274328,,10261992,FALSE,C/C=C1\C=C(C)C2(CC2)C(C)(O)C1=O
CHEMBL310840,,135402864,FALSE,CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)c[nH]c2nncc1-2
CHEMBL111647,,15907591,FALSE,C[n+]1c2ccccc2cc2[n-]c3ccc([N+](=O)[O-])cc3c21
CHEMBL295136,,5329665,FALSE,CC(=O)Nc1ncc(SCc2ncc(C(C)(C)C)o2)s1
CHEMBL126328,,5329666,FALSE,CC(=O)Nc1ncc(SCc2ncc(CC3CCCCC3)o2)s1
CHEMBL93755,,10061255,FALSE,CC1=C(SCC(C)O)C(=O)c2ccccc2C1=O
CHEMBL325991,,11070207,FALSE,C[n+]1c2ccc(Br)cc2cc2[nH]c3ccccc3c21.[I-]
CHEMBL428506,,49796498,FALSE,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)CC(OC(=O)[C@H](OC(=O)NCCNC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H](C)N)C(NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O.Cl.Cl
CHEMBL129475,,5329690,FALSE,CC(C)(C)c1cnc(CSc2cnc(NC(=O)OCc3ccccc3)s2)o1
CHEMBL7993,,44265291,FALSE,CC1=C/C(=C\C#CCCO)C(=O)C(C)(O)C12CC2
CHEMBL8640,,10104630,FALSE,CC1=C/C(=C\Cl)C(=O)C(C)(O)C12CC2
CHEMBL16498,SJG-136,393111,FALSE,C=C1C[C@H]2C=Nc3cc(OCCCOc4cc5c(cc4OC)C(=O)N4CC(=C)C[C@H]4C=N5)c(OC)cc3C(=O)N2C1
CHEMBL3037900,,73357301,FALSE,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@@]3(C)OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](OC(=O)N(C)CCNC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](C)N)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C.Cl.Cl
CHEMBL8350,,44265322,FALSE,CC1=C/C(=C\C(C)C)C(=O)C(C)(O)C12CC2
CHEMBL417829,,9577173,FALSE,C(=N/NC1=NCCN1)\c1cccc2cc3ccccc3cc12
CHEMBL107615,,15907594,FALSE,CC(=O)Nc1ccc2[n-]c3cc4ccccc4[n+](C)c3c2c1
CHEMBL300936,,5282335,FALSE,CC(C)(C)c1cnc(CSc2cnc(NC(=O)Cc3ccc(CNC(CO)CO)cc3)s2)o1
CHEMBL150607,,393599,FALSE,Cc1c(CNc2ccc(C(=O)NC(CCCNC(=O)c3ccccc3C(=O)O)C(=O)O)cc2)cnc2nc(N)nc(N)c12
CHEMBL150195,,10595926,FALSE,CCC1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(F)ccc3nc2-1
CHEMBL8312,,9881353,FALSE,C=C1C2=C(CC(C)(C)C2=O)C(=O)C(C)(O)C12CC2
CHEMBL43,AMSACRINE,2179,FALSE,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
CHEMBL34259,METHOTREXATE,126941,TRUE,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL345989,,10811551,FALSE,CCC1(O)CC(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(C)c(Cl)cc3nc2-1
